ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Morphemes,SimpleCognate,PartialCognates
Umutina-108_frog-3,,Umutina,108_frog,balaru / du / ru,ru,r u,,schultz1952vocabulario;lima1997lingua;telles2007flexao;cruz2012povo,,,,,FROG,165,13
Umutina-111_genipa-1,,Umutina,111_genipa,bei,bei,b ei,,schultz1952vocabulario;lima1997lingua;telles2007flexao;cruz2012povo,,,,,GENIPA,51,14
Bororo-111_genipa-1,,Bororo,111_genipa,bie,bie,b ie,,crowell1979grammar;Ccrowell1973cohesion;nonato2008ainore,,,,,GENIPA,51,14
Bororo-112_gildedcatfish-1,,Bororo,112_gildedcatfish,poru,poru,p o r u,,crowell1979grammar;Ccrowell1973cohesion;nonato2008ainore,,,,,GILDED_CATFISH,158,15
Umutina-112_gildedcatfish-1,,Umutina,112_gildedcatfish,poru,poru,p o r u,,schultz1952vocabulario;lima1997lingua;telles2007flexao;cruz2012povo,,,,,GILDED_CATFISH,158,15
Bororo-114_good-1,,Bororo,114_good,amarew,amarew,a m a r e w,,crowell1979grammar;Ccrowell1973cohesion;nonato2008ainore,,,,,GOOD,16,128
Umutina-114_good-1,,Umutina,114_good,emaka,emaka,e m a k a,,schultz1952vocabulario;lima1997lingua;telles2007flexao;cruz2012povo,,,,,GOOD,178,128
Kovareka-114_good-1,,Kovareka,114_good,emaka,emaka,e m a k a,,de1912linguistique;monfort1913linguistique,,,,,GOOD,16,128
Kuruminaka-114_good-1,,Kuruminaka,114_good,ĩmaxa,ĩmaxa,ĩ m a x a,,de1912linguistique;monfort1913linguistique,,,,,GOOD,16,128
Bororo-115_gourd-1,,Bororo,115_gourd,poari / pogoga,poari,p oa r i,,crowell1979grammar;Ccrowell1973cohesion;nonato2008ainore,,,,,GOURD,16,129
Bororo-115_gourd-2,,Bororo,115_gourd,poari / pogoga,pogoga,p o g o g a,,crowell1979grammar;Ccrowell1973cohesion;nonato2008ainore,,,,,GOURD,153,130
Umutina-115_gourd-1,,Umutina,115_gourd,poari / poka,poari,p oa r i,,schultz1952vocabulario;lima1997lingua;telles2007flexao;cruz2012povo,,,,,GOURD,16,129
Umutina-115_gourd-2,,Umutina,115_gourd,poari / poka,poka,p o k a,,schultz1952vocabulario;lima1997lingua;telles2007flexao;cruz2012povo,,,,,GOURD,153,130
Otuke-115_gourd-1,,Otuke,115_gourd,aika,aika,ai k a,,de1912linguistique;monfort1913linguistique,,,,,GOURD,153,131
Bororo-118_hair-1,,Bororo,118_hair,ao,ao,ao,,crowell1979grammar;Ccrowell1973cohesion;nonato2008ainore,,,,,HAIR,20,134
Umutina-118_hair-1,,Umutina,118_hair,azo / azu,azo,a z o,,schultz1952vocabulario;lima1997lingua;telles2007flexao;cruz2012povo,,,,,HAIR,20,134
Otuke-118_hair-1,,Otuke,118_hair,aho,aho,a h o,,de1912linguistique;monfort1913linguistique,,,,,HAIR,20,134
Bororo-119_hammock-1,,Bororo,119_hammock,buke,buke,b u k e,,crowell1979grammar;Ccrowell1973cohesion;nonato2008ainore,,,,,HAMMOCK,42,135
Umutina-119_hammock-1,,Umutina,119_hammock,bukye,bukye,b u k ye,,schultz1952vocabulario;lima1997lingua;telles2007flexao;cruz2012povo,,,,,HAMMOCK,42,135
Bororo-123_heart-1,,Bororo,123_heart,bapo,bapo,b a p o,,crowell1979grammar;Ccrowell1973cohesion;nonato2008ainore,,,,,HEART,40,76
Umutina-123_heart-1,,Umutina,123_heart,wapo,wapo,w a p o,,schultz1952vocabulario;lima1997lingua;telles2007flexao;cruz2012povo,,,,,HEART,40,76
Otuke-123_heart-1,,Otuke,123_heart,ʃo,ʃo,ʃ o,,de1912linguistique;monfort1913linguistique,,,,,HEART,222,123
Bororo-124_hedgehog-1,,Bororo,124_hedgehog,iwe,iwe,i w e,,crowell1979grammar;Ccrowell1973cohesion;nonato2008ainore,,,,,HEDGEHOG,95,182
Umutina-124_hedgehog-1,,Umutina,124_hedgehog,hibe,hibe,h i b e,,schultz1952vocabulario;lima1997lingua;telles2007flexao;cruz2012povo,,,,,HEDGEHOG,95,182
